Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
BMW 3 Series 320d,Kochi,28436.41,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,47.87 Lakh
Maruti S Cross DDiS 200 Alpha,Bangalore,12646.92,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5,
Audi A6 2011-2015 35 TFSI Technology,Mumbai,36024.56,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,
Hyundai i20 1.2 Magna,Kolkata,2866.64,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,
Volkswagen Vento Petrol Highline AT,Kolkata,4368.94,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,
Honda City Corporate Edition,Mumbai,6515.08,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,
Nissan Micra Diesel XV,Hyderabad,6515.08,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,
Maruti Alto K10 2010-2014 VXI,Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5,
Honda WRV i-VTEC VX,Kochi,15176.3,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,10.57 Lakh
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7,
Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,
Toyota Corolla Altis G,Delhi,10347.48,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5,
Mahindra Ssangyong Rexton RX7,Bangalore,19162,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7,
Audi A6 2.7 TDI,Kolkata,17629.04,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,
Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,12.33 Lakh
Maruti Wagon R LXI BSIII,Jaipur,2835.98,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5,
Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.12 Lakh
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,
Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,
Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,
Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,
Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,
Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,
Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,23.64 Lakh
Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,
Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5,
Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7,18.64 Lakh
Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,
Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6,
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,
Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,
Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,
Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,
Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5,
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,
Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,
Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,
Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5,
Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,19.34 Lakh
Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,
Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,
Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,
Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,
Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,54680.68,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,49.14 Lakh
Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,
Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,11.81 Lakh
Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,
Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,
Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,
Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,16.65 Lakh
Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,
Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,
Ford Fiesta 1.4 SXi TDCi,Jaipur,3065.92,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5,
Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8,
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,
Hyundai Santro Xing XL,Hyderabad,1992.85,2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,
Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,
Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,6.67 Lakh
Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,
Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,
Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,
Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,
BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5,
Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,
Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,
Hyundai Santro Xing XO,Hyderabad,3219.22,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,
Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,
Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,
Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,
Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,
Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,
Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,
Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,
Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5,
Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,
Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,
Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,6.45 Lakh
Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,
Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,
Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,
Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,6.41 Lakh
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,
Mahindra XUV500 W8 2WD,Delhi,8814.52,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7,
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,
Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,27 Lakh
Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,5.13 Lakh
Tata Nano Twist XT,Bangalore,3295.86,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,
BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,54.43 Lakh
Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,
Volvo V40 Cross Country D3,Bangalore,30659.2,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5,
Nissan Micra XV CVT,Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,9.51 Lakh
BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5,
Maruti Vitara Brezza VDi,Mumbai,11497.2,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,9.96 Lakh
Hyundai Santro Xing XL eRLX Euro III,Mumbai,1303.02,2005,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5,
Mercedes-Benz B Class B200 CDI,Pune,25677.08,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5,
Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.44 Lakh
Maruti Wagon R LXI BS IV,Pune,3755.75,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,
Tata Nano XTA,Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,
Mahindra Scorpio VLX,Kolkata,11880.44,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,
Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5,
Maruti Wagon R LXI CNG,Pune,4982.12,2013,89900,CNG,Manual,First,26.6 kmpl,998 CC,58.16 bhp,5,
Honda CR-V 2.4 MT,Bangalore,8048.04,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,
Maruti Ciaz VXi Plus,Kochi,11451.21,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,
Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,
Maruti Ritz VXI ABS,Coimbatore,8906.5,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,
Maruti Alto K10 VXI,Hyderabad,3985.7,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 Lakh
Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,95.04 Lakh
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,13.49 Lakh
Maruti Alto LXi BSIII,Chennai,2452.74,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,
BMW 1 Series 118d Base,Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,
Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,
Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,
Honda Amaze SX i-DTEC,Kolkata,5671.95,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,
Maruti Swift VVT VXI,Kochi,8323.97,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,
Hyundai Santro Xing XO eRLX Euro II,Kochi,2560.04,2008,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,null bhp,5,
Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,
Chevrolet Beat LT Option,Pune,4368.94,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,
Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5,
Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,
Audi RS5 Coupe,Mumbai,56719.52,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,1.28 Cr
BMW 3 Series Luxury Line,Mumbai,40623.44,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,60.88 Lakh
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,
Maruti Swift VDI,Chennai,9581,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5,
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,
Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2012,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,
Hyundai EON Magna Plus,Kochi,6484.42,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,
Datsun GO NXT,Kolkata,3832.4,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,
Honda Brio S MT,Kolkata,3663.77,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,
Mercedes-Benz B Class B180,Delhi,17245.8,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,
Honda City i DTEC V,Kochi,10899.35,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,
Maruti Swift VXI Optional,Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,
Mahindra XUV500 W8 2WD,Mumbai,12110.38,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,6775.68,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,
Toyota Fortuner 4x2 Manual,Mumbai,20694.96,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,9581,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,
Ford Figo Diesel Titanium,Jaipur,3219.22,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,
BMW X5 xDrive 30d,Mumbai,68983.2,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,51599.43,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,
Honda Brio V MT,Bangalore,5595.3,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,
Hyundai i10 Magna 1.2,Delhi,4215.64,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,
Mercedes-Benz GLC 220,Bangalore,65150.8,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,9964.24,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,7.39 Lakh
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,29126.24,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,
Volkswagen Vento Petrol Highline AT,Mumbai,6821.67,2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5,
Mini Countryman Cooper D,Jaipur,35258.08,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5,
Hyundai i20 Asta 1.4 CRDi,Bangalore,12800.22,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,35181.43,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,
Chevrolet Beat Diesel LT,Jaipur,2299.44,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,
Skoda Superb Elegance 1.8 TSI AT,Kochi,10562.09,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2222.79,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,
BMW 5 Series 520d Luxury Line,Hyderabad,51354.16,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,69.47 Lakh
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,1916.2,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,6438.43,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,10347.48,2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,49054.72,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,
Maruti Baleno Alpha,Kochi,11497.2,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,8.78 Lakh
Hyundai Verna 1.6 SX,Delhi,7051.62,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,
Hyundai i10 Magna 1.1,Kochi,6193.16,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,
